test_id,gene_id,gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
XLOC_010300,XLOC_010300,CCL23,chr17:34340095-34345005,NULL,KLF4,OK,1.73184,0,#NAME?,#NAME?,5.00E-05,0.000294749,yes
XLOC_020025,XLOC_020025,HIST1H3B,chr6:26031816-26032288,NULL,KLF4,OK,1.66698,0,#NAME?,#NAME?,5.00E-05,0.000294749,yes
XLOC_000233,XLOC_000233,SYTL1,chr1:27668482-27680423,NULL,KLF4,OK,0,1.62974,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_000767,XLOC_000767,S100A9,chr1:153330329-153333503,NULL,KLF4,OK,0,3.96975,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_000819,XLOC_000819,HAPLN2,chr1:156589085-156595517,NULL,KLF4,OK,0,2.10945,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_000847,XLOC_000847,LINC01133,chr1:159931013-159948876,NULL,KLF4,OK,0,4.55691,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_000870,XLOC_000870,FCGR2A,chr1:161475204-161489360,NULL,KLF4,OK,0,1.10601,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_000873,XLOC_000873,HSPA7,chr1:161575848-161578341,NULL,KLF4,OK,0,1.75388,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_000874,XLOC_000874,FCGR2B,chr1:161632904-161648444,NULL,KLF4,OK,0,0.972209,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_001564,XLOC_001564,EDN2,chr1:41944445-41950344,NULL,KLF4,OK,0,0.959476,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_001940,XLOC_001940,CRNN,chr1:152381718-152386750,NULL,KLF4,OK,0,2.91526,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_002073,XLOC_002073,ITLN1,chr1:160846329-160854960,NULL,KLF4,OK,0,2.75236,inf,#NAME?,5.00E-05,0.000294749,yes
XLOC_002591,XLOC_002591,SLC18A3,chr10:50817140-50873150,NULL,KLF4,OK,0,1.23561,inf,#NAME?,5.00E-05,0.000294749,yes
